"sample_id","habitat","insertsHQ"
"SAMEA2042731","human gut",9481229
"SAMEA2042732","human gut",10414583
"SAMEA2042733","human gut",8301269
"SAMEA2042734","human gut",17360352
"SAMEA2042736","human gut",17787347
"SAMEA2042737","human gut",26126566
"SAMEA2042738","human gut",24734730
"SAMEA2042739","human gut",18185535
"SAMEA2042740","human gut",18838869
"SAMEA2042741","human gut",167343
"SAMEA2042742","human gut",16272292
"SAMEA2042743","human gut",487281
"SAMEA2042744","human gut",18490613
"SAMEA2042745","human gut",1682442
"SAMEA2042828","human gut",17484906
"SAMEA2042829","human gut",5825
"SAMEA2042830","human gut",15476979
"SAMEA2042831","human gut",3726796
"SAMEA2042832","human gut",18340318
"SAMEA2042833","human gut",7222
"SAMEA2042834","human gut",21072928
"SAMEA2042835","human gut",36138
"SAMEA2042836","human gut",23867598
"SAMEA2042837","human gut",73948
"SAMEA2042838","human gut",25179283
"SAMEA2042839","human gut",775405
"SAMEA2042840","human gut",18690688
"SAMEA2042841","human gut",18438932
"SAMEA2042842","human gut",916573
"SAMEA2042911","human gut",17104928
"SAMEA2042913","human gut",23414294
"SAMEA2042914","human gut",18846
"SAMEA2042915","human gut",1115871
"SAMEA2042916","human gut",27034916
"SAMEA2042917","human gut",206218
"SAMEA2042918","human gut",22639442
"SAMEA2042919","human gut",21315913
"SAMEA2042920","human gut",21314548
"SAMEA2042921","human gut",18655138
"SAMEA2042922","human gut",20141524
"SAMEA2042923","human gut",22565842
"SAMEA2042924","human gut",25034928
"SAMEA2042980","human gut",24530287
"SAMEA2042981","human gut",24476905
"SAMEA2042982","human gut",24219541
"SAMEA2042983","human gut",23771984
"SAMEA2042984","human gut",24393546
"SAMEA2042985","human gut",23506093
"SAMEA2042986","human gut",25828077
"SAMEA2042987","human gut",24902574
"SAMEA2042988","human gut",26216727
"SAMEA2042990","human gut",24048029
"SAMEA2042991","human gut",25525199
"SAMEA2042992","human gut",25901407
"SAMEA2042993","human gut",28311077
"SAMEA2042994","human gut",23701467
"SAMEA2042995","human gut",26122081
"SAMEA2043040","human gut",103214
"SAMEA2043041","human gut",16123453
"SAMEA2043042","human gut",23394251
"SAMEA2043043","human gut",25508527
"SAMEA2043044","human gut",25152101
"SAMEA2043045","human gut",12265946
"SAMEA2043046","human gut",23283633
"SAMEA2043048","human gut",23411131
"SAMEA2043049","human gut",22174077
"SAMEA2043050","human gut",25323324
"SAMEA2043051","human gut",18952341
"SAMEA2043052","human gut",26785961
"SAMEA2142349","human gut",33752361
"SAMEA2142525","human gut",20790332
"SAMEA2142583","human gut",3041
"SAMEA2142594","human gut",10531685
"SAMEA2142793","human gut",19321635
