"Term_ID","Term_Label","Parent_ID","Parent_Label","geneclass"
"ARO:3003864","ADC-20","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006271","ACT-77","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002147","DHA-16","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3007884","ACT-101","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002111","CMY-98","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003857","ADC-13","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003851","ADC-5","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3001834","ACT-12","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002179","MIR-14","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3001848","ACT-28","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3000174","tet(G)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3002112","CMY-100","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006243","ACT-48","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002096","CMY-83","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3001843","ACT-22","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002083","CMY-70","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002186","MOX-3","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003859","ADC-15","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003881","ADC-75","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3001847","ACT-27","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002084","CMY-71","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003173","MIR-17","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002120","CMY-108","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3000175","tet(H)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3002176","MIR-11","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002031","CMY-20","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002175","MIR-10","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002126","CMY-115","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003860","ADC-16","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003863","ADC-19","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002090","CMY-77","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003866","ADC-22","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002099","CMY-86","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002092","CMY-79","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002169","MIR-3","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002515","OCH-2","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002696","cmlA6","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3000476","tet(31)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3002518","OCH-5","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003046","qacA","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3000573","tet(43)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3003111","lsaB","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"ARO:3003554","tcmA","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3004325","MCR-4.1","ARO:3003580","gene altering cell wall charge","cell wall charge"
"ARO:3003047","qacB","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3001313","facT","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3004103","QepA2","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3002817","carA","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"ARO:3004110","MCR-2.1","ARO:3003580","gene altering cell wall charge","cell wall charge"
"ARO:3004194","MCR-1.2","ARO:3003580","gene altering cell wall charge","cell wall charge"
"ARO:3004642","dfrA3b","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"ARO:3003155","SHV-188","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3000265","porin OmpF","ARO:3000270","protein modulating permeability to antibiotic","permeability modulation"
"ARO:3000179","tet(L)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3000017","OXA beta-lactamase","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3003021","dfrB2","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"ARO:3002564","AAC(6')-It","ARO:3000345","AAC(6')","aac"
