"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1378","ARO:3003016","dfrA20","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr","dfr"
"1379","ARO:3002576","AAC(6')-Ib3","ARO:3000345","AAC(6')","aac","aac"
"1380","ARO:3002718","QnrB4","ARO:3000419","quinolone resistance protein (qnr)","qnr","qnr"
"1381","ARO:3001778","OXA-232","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1382","ARO:3000842","EBR-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1383","ARO:3002319","KPC-9","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1384","ARO:3002261","IND-5","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1385","ARO:3003559","cepA","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1386","ARO:3002608","aadA8","ARO:3004275","ANT(3'')","ant","ant"
"1387","ARO:3001519","OXA-331","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1388","ARO:3001543","OXA-356","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1389","ARO:3001521","OXA-333","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1390","ARO:3001523","OXA-335","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1391","ARO:3001548","OXA-361","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1392","ARO:3006906","CfiA10","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1393","ARO:3001383","TEM-206","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1394","ARO:3002471","LEN-24","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1395","ARO:3002473","LEN-17","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1396","ARO:3001120","SHV-65","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1397","ARO:3002478","LEN-15","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1398","ARO:3002437","OKP-B-4","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1399","ARO:3002246","CARB-7","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1400","ARO:3002252","CARB-14","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1401","ARO:3002422","OKP-A-5","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1402","ARO:3002045","CMY-34","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1403","ARO:3002132","DHA-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1404","ARO:3002506","PDC-7","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1405","ARO:3001825","ACT-6","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1406","ARO:3003872","ADC-41","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1407","ARO:3002117","CMY-105","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
