sample_id	original_name	habitat	GCfrac	basepairsHQ	basepairsRaw	insertsHQ	insertsRaw	nr_orfs	latitude	longitude	income_group	country
SAMN06172434	ExDogA27	dog gut	0.4333892041037001	10201776169	12604854780	45979674	50019265	289184	38.627	-90.1994	High income	United States of America
SAMN06172515	ExDogA28	dog gut	0.4388785219997159	11982845100	15461141472	55634032	61353736	337844	38.627	-90.1994	High income	United States of America
SAMN06172418	ExDogA29	dog gut	0.4506838357783758	9866784219	12398754564	44903613	49201407	365057	38.627	-90.1994	High income	United States of America
SAMN06172408	ExDogA30	dog gut	0.3811858717364779	15579069775	18777738672	69296295	74514836	333246	38.627	-90.1994	High income	United States of America
SAMN06172497	ExDogA31	dog gut	0.4450586554226347	16035160018	19426808268	71534418	77090509	260265	38.627	-90.1994	High income	United States of America
SAMN06172481	ExDogA32	dog gut	0.4327783726449264	12525336024	15244826688	55927153	60495344	274801	38.627	-90.1994	High income	United States of America
SAMN06172446	ExDogA33	dog gut	0.4363358385041401	11858429213	14120391096	52555725	56033298	375534	38.627	-90.1994	High income	United States of America
SAMN06172517	ExDogA34	dog gut	0.4430504616382007	14029779394	16743427344	61941349	66442172	304403	38.627	-90.1994	High income	United States of America
SAMN06172503	ExDogA35	dog gut	0.4000120817764557	16272595512	18844409052	70912153	74779401	303273	38.627	-90.1994	High income	United States of America
SAMN06172483	ExDogA36	dog gut	0.4391496011101758	11240719153	13987936872	51194793	55507686	349565	38.627	-90.1994	High income	United States of America
SAMN06172463	ExDogA37	dog gut	0.4200621427383887	17243348893	19820700648	75041055	78653574	354454	38.627	-90.1994	High income	United States of America
SAMN06172471	ExDogA38	dog gut	0.4254756137220317	14233703188	17544533076	64062930	69621163	391442	38.627	-90.1994	High income	United States of America
SAMN06172521	ExDogA39	dog gut	0.4305993036915364	10684055824	13003743816	47811264	51602158	326177	38.627	-90.1994	High income	United States of America
SAMN06172511	ExDogA40	dog gut	0.4319507876137828	15041447680	17642076984	65960435	70008242	292719	38.627	-90.1994	High income	United States of America
SAMN06172495	ExDogA41	dog gut	0.4379404101473839	9840533075	12150051732	44277433	48214491	405150	38.627	-90.1994	High income	United States of America
SAMN06172473	ExDogA42	dog gut	0.4449030243872568	12484266603	15415568532	56046929	61172891	191511	38.627	-90.1994	High income	United States of America
SAMN06172507	ExDogA43	dog gut	0.4386303343261868	8784188209	10990366884	39940167	43612567	259638	38.627	-90.1994	High income	United States of America
SAMN06172455	ExDogA44	dog gut	0.4398811174956193	11938499178	14736791412	53999865	58479331	389892	38.627	-90.1994	High income	United States of America
SAMN06172448	ExDogA45	dog gut	0.42457198260225376	12243557055	14505341760	53926891	57560880	288925	38.627	-90.1994	High income	United States of America
SAMN06172491	ExDogA46	dog gut	0.43306342178569024	11722150121	14860887048	53466817	58971774	430665	38.627	-90.1994	High income	United States of America
SAMN06172428	ExDogA47	dog gut	0.4321866420342692	12635475306	15193460016	56192608	60291508	433210	38.627	-90.1994	High income	United States of America
SAMN06172475	ExDogA48	dog gut	0.4598186561212229	12077263821	14816743704	54223849	58796602	341336	38.627	-90.1994	High income	United States of America
SAMN06172400	ExDogA49	dog gut	0.4456563251942904	10394465136	12773580624	46823142	50688812	326708	38.627	-90.1994	High income	United States of America
SAMN06172424	ExDogA50	dog gut	0.4562052791963607	8237934068	10657319652	38011104	42290951	310388	38.627	-90.1994	High income	United States of America
SAMN06172501	ExDogA51	dog gut	0.39549475643810816	10259747890	12693441348	46408222	50370799	239386	38.627	-90.1994	High income	United States of America
SAMN06172420	ExDogA52	dog gut	0.4368441163902589	9771911942	12562497108	45440756	49851179	316366	38.627	-90.1994	High income	United States of America
SAMEA103957795	ExDogA53	dog gut	0.4432551934298584	9389761670	11630494512	42428253	46152756	263610	38.627	-90.1994	High income	United States of America
SAMN06172457	ExDogA54	dog gut	0.4374902930318809	10876037036	13866734700	49838603	55026725	326871	38.627	-90.1994	High income	United States of America
SAMN06172444	ExDogA55	dog gut	0.4598070067459599	8530484824	10670867172	38791124	42344711	319014	38.627	-90.1994	High income	United States of America
SAMN06172523	ExDogA56	dog gut	0.4183612770284933	13175134600	15830372628	58457845	62818939	286832	38.627	-90.1994	High income	United States of America
